tenure,num_of_orders,days_since_last_purchase,total_spent,avg_order_value,num_complaints,discount_used,login_frequency,preferred_category,churn
57,60,114,1706.58,28.44,6,1,14,2,0
40,63,129,222.92,3.54,8,1,11,0,1
21,57,11,1795.7,31.5,2,0,13,0,0
16,92,55,8397.94,91.28,9,0,12,0,1
45,51,2,314.23,6.16,6,0,29,2,0
18,56,65,2408.16,43.0,3,1,18,2,0
47,27,172,7597.33,281.38,0,0,11,2,1
53,32,16,5902.49,184.45,4,0,15,0,0
24,9,150,7849.08,872.12,7,1,25,2,1
26,96,106,7486.89,77.99,2,1,15,0,0
25,84,146,600.95,7.15,9,1,0,1,1
45,92,175,8935.86,97.13,3,1,14,0,0
41,97,30,2347.62,24.2,2,0,4,0,0
29,68,10,5578.59,82.04,9,0,5,3,0
15,46,62,6478.45,140.84,7,0,26,3,1
45,98,85,1769.42,18.06,9,1,24,0,0
1,67,134,9764.69,145.74,7,0,20,3,1
25,26,67,4932.74,189.72,3,0,16,2,0
7,8,41,670.66,83.83,1,0,10,3,0
9,6,171,9378.89,1563.15,2,1,26,3,1
24,80,18,5904.05,73.8,2,0,3,3,0
1,24,58,7022.01,292.58,3,0,17,0,0
44,48,60,5299.24,110.4,1,1,19,1,0
8,94,88,8363.91,88.98,1,0,13,1,0
24,45,27,428.02,9.51,2,1,22,1,0
11,13,68,2756.95,212.07,0,1,8,1,0
51,69,22,4749.52,68.83,7,0,27,1,0
17,25,152,858.38,34.34,5,1,2,1,1
8,20,40,7088.48,354.42,2,1,2,0,0
35,82,109,3997.27,48.75,0,1,10,2,0
35,82,74,2799.41,34.14,2,0,19,2,0
33,66,66,133.45,2.02,0,1,22,1,0
59,74,168,7226.32,97.65,2,0,21,3,0
5,45,6,8354.71,185.66,3,0,29,3,0
42,47,112,4010.9,85.34,5,1,4,0,1
39,63,18,5685.76,90.25,6,1,3,1,0
58,76,81,2354.1,30.98,6,0,11,1,0
41,77,102,6259.76,81.3,8,1,23,3,0
28,55,110,220.16,4.0,7,0,11,1,1
7,75,30,4937.57,65.83,3,0,3,1,1
9,19,122,6477.63,340.93,5,1,2,3,1
8,35,149,9190.1,262.57,0,1,22,2,1
12,53,62,3875.22,73.12,7,1,1,2,1
34,26,138,7675.38,295.21,5,1,3,0,1
33,14,120,6017.1,429.79,1,1,23,3,0
48,45,107,9277.42,206.16,7,1,3,0,0
55,44,141,4043.94,91.91,3,1,25,1,0
23,88,76,3259.04,37.03,8,1,27,3,1
24,65,9,8882.71,136.66,3,1,6,2,0
37,51,39,587.52,11.52,0,1,1,1,0
35,43,24,1450.22,33.73,6,0,10,2,0
44,86,125,915.8,10.65,9,1,4,2,1
40,23,118,8446.79,367.25,4,1,27,0,0
22,56,34,205.01,3.66,9,1,12,3,1
27,19,61,8630.41,454.23,4,0,3,3,0
35,82,169,4567.55,55.7,3,1,8,3,1
1,76,133,139.85,1.84,5,1,6,0,1
35,55,79,4076.29,74.11,0,1,29,2,0
37,92,50,1949.33,21.19,2,1,24,0,0
47,92,132,6281.56,68.28,6,1,26,3,1
14,60,51,6825.65,113.76,7,0,28,1,1
3,59,52,4926.52,83.5,8,1,12,3,1
1,33,122,501.14,15.19,0,1,9,3,1
5,19,167,6595.68,347.14,3,0,6,2,1
26,28,8,8436.18,301.29,1,0,17,3,0
55,52,113,7231.21,139.06,1,0,27,3,0
14,49,45,8316.58,169.73,0,1,17,2,0
39,37,88,2085.04,56.35,4,1,1,3,1
27,26,28,8899.99,342.31,1,0,20,3,0
9,99,119,3289.72,33.23,3,1,0,2,1
15,98,107,232.71,2.37,8,1,12,1,1
15,99,27,8449.58,85.35,2,1,22,2,0
26,40,162,9424.03,235.6,7,1,1,3,1
42,80,81,6590.03,82.38,9,1,3,0,1
13,38,101,2391.22,62.93,5,0,8,1,1
51,77,62,2592.27,33.67,9,0,7,2,1
32,87,62,4719.27,54.24,4,0,25,1,0
39,54,166,8988.53,166.45,1,1,17,1,0
49,22,26,1581.02,71.86,2,0,29,0,0
52,16,121,8277.14,517.32,7,1,15,0,1
32,28,24,2983.9,106.57,8,0,3,0,1
4,35,39,8105.0,231.57,6,0,3,3,1
30,60,124,9210.68,153.51,0,0,17,2,0
37,45,21,4332.19,96.27,5,0,1,3,0
23,46,94,3714.0,80.74,6,1,20,2,1
39,72,175,8041.99,111.69,5,0,10,3,1
45,55,115,5341.88,97.13,9,0,19,3,1
15,86,176,6876.05,79.95,1,0,23,0,1
43,85,121,6266.01,73.72,8,1,3,3,1
29,26,13,1613.6,62.06,2,0,23,0,0
36,85,131,8463.42,99.57,5,0,13,2,1
13,25,160,2038.17,81.53,5,0,20,0,1
32,65,163,9329.59,143.53,7,0,16,1,1
7,6,19,2580.66,430.11,3,0,29,1,0
59,23,142,7365.42,320.24,5,1,29,3,0
51,64,176,2918.09,45.6,0,0,24,1,0
22,87,81,3246.08,37.31,8,1,7,2,1
28,43,123,3169.02,73.7,8,1,0,3,1
2,23,68,7504.13,326.27,6,0,27,0,1
42,96,173,5612.47,58.46,0,0,18,3,0
45,30,19,8841.23,294.71,2,1,18,3,0
57,77,64,3142.99,40.82,4,0,20,1,0
53,18,101,6950.73,386.15,3,0,6,3,0
6,87,66,7554.19,86.83,4,1,0,2,1
28,79,66,1599.67,20.25,6,0,0,3,1
28,97,75,4065.83,41.92,8,1,9,0,1
44,21,45,4879.89,232.38,0,1,12,0,0
44,57,87,3621.31,63.53,4,0,21,1,0
20,23,67,3288.91,143.0,2,0,29,3,0
30,91,3,6895.56,75.78,2,1,4,0,0
11,45,166,2237.08,49.71,1,1,11,3,1
58,44,170,7122.97,161.89,5,0,27,3,1
55,82,168,9356.94,114.11,5,1,28,0,0
28,88,178,5695.46,64.72,2,1,2,3,1
25,47,163,6153.2,130.92,0,0,28,1,0
39,40,24,782.43,19.56,6,0,18,1,0
33,51,88,8658.32,169.77,1,1,3,0,0
1,42,17,2925.93,69.66,7,0,14,2,1
57,7,40,6189.01,884.14,2,1,12,2,0
27,50,172,9793.21,195.86,0,1,10,3,1
57,48,151,5995.48,124.91,9,0,25,1,1
52,84,6,7274.62,86.6,8,1,1,0,0
13,91,149,4508.66,49.55,4,1,28,1,1
41,6,119,697.62,116.27,0,1,8,2,1
3,91,120,7996.23,87.87,9,0,28,2,1
39,9,35,446.49,49.61,5,0,11,3,0
6,57,113,7036.51,123.45,9,1,3,0,1
8,31,29,326.92,10.55,2,1,25,3,0
27,21,7,8636.82,411.28,3,1,18,1,0
9,90,53,1660.6,18.45,7,0,9,1,1
37,40,165,5191.29,129.78,4,1,10,2,1
33,45,23,6011.79,133.6,5,0,6,3,0
51,77,97,4629.7,60.13,9,1,12,1,1
42,49,136,3473.56,70.89,3,1,8,1,1
44,87,76,4731.36,54.38,5,0,11,1,0
24,20,176,3183.02,159.15,2,0,28,0,1
15,92,10,4437.41,48.23,9,0,1,2,1
59,17,117,3653.24,214.9,0,1,29,3,0
54,28,24,5705.43,203.77,5,1,21,1,0
32,41,175,2455.45,59.89,0,0,20,0,1
32,66,39,9887.7,149.81,9,0,0,1,1
24,25,66,5058.61,202.34,2,1,26,1,0
41,58,6,2022.2,34.87,7,1,6,2,0
52,41,21,4822.96,117.63,6,0,0,0,0
49,6,73,8677.51,1446.25,7,1,25,1,0
49,75,74,315.89,4.21,9,0,24,2,1
58,38,36,6827.59,179.67,9,1,15,0,0
52,6,131,5524.88,920.81,1,0,3,1,1
12,45,170,1778.62,39.52,9,1,29,3,1
39,75,173,8193.02,109.24,6,1,7,2,1
2,14,44,3751.96,268.0,3,1,16,1,1
3,66,91,3008.64,45.59,0,0,20,1,0
49,40,161,8298.44,207.46,2,0,18,0,0
37,3,60,6421.4,2140.47,4,0,3,3,1
49,99,93,8992.76,90.84,9,1,27,2,0
56,97,83,6335.85,65.32,7,1,3,0,0
17,24,83,7434.09,309.75,1,0,7,1,0
59,19,77,8380.81,441.1,1,1,9,2,0
49,18,26,641.92,35.66,7,0,25,1,0
2,64,21,7782.88,121.61,8,1,28,1,0
2,88,120,6175.69,70.18,9,1,15,3,1
28,35,130,788.13,22.52,0,1,18,1,0
54,62,175,5134.92,82.82,1,0,0,2,0
23,1,108,916.33,916.33,3,0,4,1,1
37,25,158,7385.88,295.44,2,0,1,2,1
32,45,27,5510.37,122.45,0,1,28,3,0
33,49,71,9540.38,194.7,3,1,26,1,0
1,98,148,1913.04,19.52,1,1,15,0,1
19,89,50,6099.73,68.54,9,1,12,2,1
2,16,95,2194.66,137.17,4,0,29,1,1
53,98,23,6179.24,63.05,0,0,5,0,0
44,93,141,7254.23,78.0,7,1,3,2,1
26,19,81,7250.81,381.62,9,0,24,0,1
32,23,132,8169.23,355.18,1,1,6,1,1
6,83,142,8550.15,103.01,2,1,1,3,1
32,25,20,864.99,34.6,2,0,22,3,0
55,16,124,3498.34,218.65,3,0,9,0,0
4,54,13,6902.51,127.82,6,0,13,1,1
55,73,3,5036.0,68.99,8,1,7,1,0
11,1,175,1987.69,1987.69,2,1,2,2,1
56,42,131,5571.82,132.66,0,1,2,1,0
59,19,129,4133.61,217.56,9,0,26,3,1
17,97,90,3961.38,40.84,0,0,1,1,0
38,34,152,8116.56,238.72,5,0,27,2,1
24,80,35,4135.22,51.69,4,0,16,2,0
5,55,14,361.9,6.58,9,0,18,1,1
52,18,141,674.83,37.49,6,0,9,1,1
34,34,175,8576.82,252.26,6,0,11,2,1
6,89,50,9609.95,107.98,2,1,26,2,0
22,45,78,6915.25,153.67,6,0,22,0,0
11,6,154,3707.25,617.88,8,0,10,3,1
48,21,3,9392.14,447.24,7,1,8,3,0
16,70,179,6661.75,95.17,2,1,29,0,1
33,96,40,8458.9,88.11,9,0,24,0,0
9,48,164,7681.94,160.04,4,1,12,3,1
59,39,51,3853.48,98.81,7,0,5,2,0
6,31,1,4839.15,156.1,1,0,13,3,0
16,10,104,1942.71,194.27,6,0,21,2,1
29,30,161,2990.94,99.7,9,1,10,3,1
3,18,135,7803.44,433.52,9,1,4,2,1
20,60,117,8950.39,149.17,6,0,1,3,1
59,88,116,7272.16,82.64,7,1,6,0,0
36,73,52,4705.22,64.46,0,0,16,1,0
19,95,120,956.44,10.07,7,0,5,1,1
26,15,139,663.78,44.25,0,1,13,1,1
3,4,155,3805.82,951.46,2,1,3,2,1
19,63,142,4691.84,74.47,8,1,2,1,1
20,40,86,6130.29,153.26,3,0,10,3,1
32,9,46,164.25,18.25,9,1,28,1,1
7,9,76,9898.26,1099.81,8,1,0,2,1
52,26,10,3702.99,142.42,0,1,13,2,0
41,4,152,8496.14,2124.04,7,0,5,2,1
33,81,61,5396.17,66.62,2,0,28,3,0
40,16,18,1391.35,86.96,6,0,22,2,0
39,15,86,7995.9,533.06,1,0,26,3,0
18,99,137,7127.29,71.99,6,0,16,2,1
40,52,145,5321.62,102.34,6,1,26,0,1
1,69,128,5194.08,75.28,8,1,16,2,1
11,5,104,966.05,193.21,1,0,22,1,1
28,20,141,6592.9,329.64,7,1,10,1,1
57,79,178,9121.33,115.46,4,0,27,0,0
25,18,101,1023.12,56.84,9,0,21,2,1
50,2,6,2708.76,1354.38,8,0,6,1,0
23,93,85,9032.85,97.13,7,0,12,1,1
31,13,51,2915.0,224.23,2,0,7,3,0
30,4,36,6574.04,1643.51,2,0,7,3,0
42,42,71,5394.7,128.45,9,1,8,2,1
35,74,100,6003.64,81.13,7,1,28,0,1
7,61,25,4216.31,69.12,8,1,24,2,0
16,95,139,3069.92,32.31,1,1,6,3,1
26,8,44,580.48,72.56,2,1,24,3,0
48,67,14,7468.38,111.47,7,1,21,2,0
57,63,29,7486.33,118.83,1,0,8,2,0
52,9,74,6740.18,748.91,7,0,10,2,1
49,94,50,6471.97,68.85,4,0,1,2,0
2,11,5,2512.8,228.44,5,0,26,0,0
1,99,110,321.21,3.24,9,1,17,1,1
48,42,122,8106.28,193.01,3,0,29,2,0
12,13,88,4962.27,381.71,2,1,21,1,1
5,36,57,3137.7,87.16,7,1,2,3,1
37,13,26,1109.13,85.32,8,1,17,1,0
32,12,6,720.94,60.08,7,1,15,2,0
59,37,144,3553.78,96.05,8,1,7,1,1
55,74,60,8066.9,109.01,0,1,22,2,0
9,73,100,9195.37,125.96,4,0,7,2,1
41,52,12,8977.84,172.65,6,0,5,3,0
35,71,75,9208.01,129.69,7,0,24,2,0
19,2,3,9086.48,4543.24,1,0,24,3,0
48,56,63,5319.53,94.99,3,0,1,0,0
16,60,134,2272.21,37.87,6,0,15,2,1
3,23,19,8000.66,347.85,4,0,25,3,0
20,40,18,2215.76,55.39,0,1,20,3,0
24,64,80,2745.35,42.9,1,1,8,2,0
54,85,171,2409.22,28.34,4,0,18,1,0
56,23,73,5198.33,226.01,5,0,20,3,0
33,29,131,3286.09,113.31,0,1,14,0,1
24,78,126,1626.14,20.85,2,0,23,1,0
52,90,72,4586.42,50.96,5,1,1,1,0
11,51,38,8751.68,171.6,5,0,14,2,1
49,69,68,5748.47,83.31,6,1,21,3,0
8,95,172,8795.52,92.58,9,1,10,0,1
36,89,80,2039.13,22.91,2,0,19,3,0
38,31,42,1753.04,56.55,0,0,11,0,0
40,50,64,5798.21,115.96,6,1,14,3,0
20,20,78,4686.96,234.35,2,0,15,2,0
35,55,127,6635.71,120.65,4,0,29,0,0
48,81,105,7966.81,98.36,3,1,27,2,0
25,2,76,7537.94,3768.97,0,1,5,3,1
35,25,165,9428.39,377.14,6,0,2,0,1
25,13,132,4042.74,310.98,3,0,5,0,1
29,92,130,2143.23,23.3,0,1,22,3,0
18,70,122,5554.04,79.34,5,1,25,2,0
46,67,44,1196.36,17.86,3,1,2,0,0
18,58,102,2959.63,51.03,3,0,20,0,0
2,99,62,2158.09,21.8,1,1,12,0,1
54,82,1,4025.98,49.1,0,0,11,3,0
35,75,17,1201.04,16.01,2,1,7,1,0
16,84,16,415.23,4.94,9,0,1,3,1
41,64,9,6602.26,103.16,4,0,6,2,0
36,69,59,6141.46,89.01,8,1,28,1,0
33,83,119,7112.75,85.7,6,0,16,0,1
4,86,137,6637.83,77.18,3,1,6,0,1
33,59,140,1231.52,20.87,7,0,0,1,1
14,60,119,2981.68,49.69,3,0,3,0,1
21,83,41,1382.31,16.65,5,0,14,0,0
48,62,143,8445.43,136.22,0,1,3,3,1
20,16,66,7494.35,468.4,5,1,11,3,1
56,88,75,2095.12,23.81,9,0,15,2,0
8,68,11,3478.96,51.16,4,1,20,0,0
7,15,8,9669.49,644.63,1,0,17,2,0
3,89,134,5982.18,67.22,0,1,13,2,1
17,55,148,8031.44,146.03,5,1,13,1,1
33,35,167,2719.45,77.7,1,0,27,1,1
48,55,99,2179.52,39.63,8,0,10,0,1
12,14,72,7860.78,561.48,8,0,27,1,1
59,49,113,6890.14,140.62,0,1,15,2,0
51,83,107,6841.68,82.43,4,0,14,3,0
22,7,34,5571.08,795.87,7,0,21,1,1
55,30,57,5679.43,189.31,3,1,5,2,0
22,83,117,7383.41,88.96,2,1,29,1,0
46,49,120,2773.02,56.59,4,0,23,0,0
30,89,147,3592.41,40.36,4,0,12,1,1
38,16,71,8729.2,545.58,7,1,25,3,0
38,51,159,3157.77,61.92,5,1,27,0,1
45,72,40,5508.46,76.51,1,1,16,1,0
51,82,142,7056.13,86.05,0,1,3,3,0
54,92,103,9999.26,108.69,2,0,11,2,0
8,80,124,4409.38,55.12,1,0,17,1,0
27,83,123,4338.12,52.27,3,1,26,1,0
27,42,100,8441.62,200.99,2,0,7,2,0
34,17,165,8074.48,474.97,8,0,11,2,1
21,63,172,7337.65,116.47,4,0,3,1,1
30,45,137,4685.97,104.13,3,1,29,3,0
33,77,58,3307.0,42.95,9,0,7,2,1
28,7,148,6126.43,875.2,8,1,28,2,1
47,27,109,8774.61,324.99,3,0,1,3,0
33,10,121,8849.4,884.94,5,1,28,1,0
5,34,92,1174.13,34.53,9,1,29,0,1
48,36,50,4340.67,120.57,0,1,3,1,0
19,25,148,4700.75,188.03,1,0,11,1,1
4,6,105,9778.39,1629.73,3,0,24,0,1
35,24,164,6812.18,283.84,8,0,20,1,1
49,18,117,4131.74,229.54,5,0,21,1,0
17,87,27,357.97,4.11,5,0,9,2,1
44,6,32,5697.31,949.55,8,1,14,3,0
28,29,1,1051.15,36.25,3,0,27,1,0
30,25,17,8361.05,334.44,2,0,8,0,0
29,55,137,7549.93,137.27,6,0,8,0,1
46,81,84,4659.04,57.52,6,0,6,2,0
53,46,45,4349.19,94.55,8,1,26,1,0
6,24,66,8983.66,374.32,5,1,1,1,1
35,75,32,2955.74,39.41,1,1,6,1,0
41,26,45,2565.3,98.67,5,1,8,1,0
37,98,9,9398.05,95.9,7,0,17,0,0
24,28,30,8111.53,289.7,5,1,22,0,0
29,3,84,8224.19,2741.4,8,0,11,2,1
49,75,166,2032.42,27.1,3,1,6,1,1
46,38,60,1518.63,39.96,2,1,18,0,0
53,61,1,357.69,5.86,4,0,21,1,0
31,78,5,2446.71,31.37,2,0,23,3,0
35,51,63,7764.49,152.24,1,1,15,3,0
33,90,164,2476.38,27.52,1,0,25,0,1
52,48,65,7318.12,152.46,3,0,7,3,0
21,21,78,2593.89,123.52,2,0,29,3,0
32,54,152,4013.4,74.32,8,1,18,0,1
23,56,132,9833.31,175.59,6,1,5,2,1
33,94,114,2523.64,26.85,5,1,1,3,1
3,59,25,3826.07,64.85,9,1,29,1,1
18,72,135,3080.76,42.79,7,0,1,3,1
25,51,141,1185.29,23.24,8,0,28,2,1
42,20,43,4949.95,247.5,2,0,7,2,0
31,96,57,3849.04,40.09,9,0,26,2,0
54,86,164,6979.38,81.16,6,1,9,2,1
58,59,142,8194.19,138.88,8,0,20,2,0
3,71,72,5488.07,77.3,0,1,20,3,0
40,9,27,418.74,46.53,9,1,10,3,1
46,1,128,6227.33,6227.33,8,1,19,3,1
24,29,106,648.37,22.36,6,0,26,3,1
50,63,165,6201.93,98.44,9,0,25,2,1
32,72,71,6881.8,95.58,3,1,19,2,0
47,56,153,2057.9,36.75,5,1,23,1,1
22,68,67,8211.53,120.76,5,0,2,3,0
23,35,90,9119.74,260.56,5,1,26,2,0
2,3,4,8149.56,2716.52,1,0,15,1,0
27,7,106,3120.58,445.8,4,1,2,1,1
42,27,79,5907.77,218.81,6,1,7,0,0
2,1,96,9156.67,9156.67,5,0,18,3,1
26,91,93,3274.58,35.98,2,0,11,2,0
17,80,74,8218.28,102.73,4,1,17,3,0
40,71,126,193.8,2.73,7,1,12,1,1
33,44,16,136.1,3.09,4,0,10,3,0
9,87,147,7621.15,87.6,9,1,28,0,1
43,41,157,7638.33,186.3,2,1,12,0,1
54,75,116,7910.87,105.48,8,1,20,2,0
48,42,179,9307.27,221.6,2,1,26,2,1
39,33,18,1267.27,38.4,1,1,2,2,0
29,50,172,2396.65,47.93,5,1,5,2,1
42,63,16,9046.88,143.6,7,0,26,3,0
55,37,130,1854.64,50.13,5,1,22,3,1
26,59,56,6854.07,116.17,0,0,2,1,0
35,81,79,5351.58,66.07,7,1,24,1,0
50,99,103,923.62,9.33,0,1,25,2,0
25,48,28,2924.11,60.92,8,0,0,3,1
24,5,5,5251.68,1050.34,7,0,13,2,0
13,48,106,8538.27,177.88,5,0,22,1,1
58,96,22,7104.63,74.01,1,0,19,3,0
7,3,117,6256.64,2085.55,8,0,6,2,1
57,47,100,5010.73,106.61,7,1,24,0,0
36,62,13,3056.97,49.31,3,0,8,1,0
45,99,65,1280.52,12.93,1,0,0,0,0
20,14,144,4149.85,296.42,5,0,9,0,1
1,63,86,382.33,6.07,0,1,12,3,0
8,61,64,2189.45,35.89,6,1,11,0,1
46,31,32,4381.59,141.34,0,1,3,0,0
16,95,80,4244.19,44.68,5,0,6,2,1
14,17,51,538.52,31.68,4,1,9,3,1
12,24,79,5931.7,247.15,9,1,21,2,1
51,23,174,5541.87,240.95,2,1,24,2,0
23,82,106,873.23,10.65,5,1,28,2,1
15,50,63,9437.31,188.75,3,0,6,3,0
28,78,76,1083.89,13.9,5,0,14,1,1
34,79,60,8562.86,108.39,3,0,18,3,0
2,79,65,103.07,1.3,0,0,6,2,0
32,70,117,8834.58,126.21,4,0,25,1,1
23,27,81,295.23,10.93,7,0,13,0,1
22,15,105,7602.34,506.82,5,0,20,1,1
51,50,128,3680.74,73.61,9,0,13,3,1
25,36,71,7408.35,205.79,8,1,17,2,1
58,8,86,4077.28,509.66,3,1,9,0,0
22,79,154,801.99,10.15,9,0,2,0,1
58,3,140,7698.32,2566.11,8,0,5,2,1
58,62,71,805.4,12.99,7,1,28,0,0
22,47,46,9228.99,196.36,2,1,21,0,0
49,77,47,604.64,7.85,5,1,22,0,0
52,98,79,4845.32,49.44,3,0,21,3,0
42,88,166,7258.04,82.48,0,1,8,1,0
6,96,149,3993.14,41.6,8,0,13,3,1
15,61,142,2250.61,36.9,3,1,20,0,1
54,32,130,7615.0,237.97,4,1,20,3,0
43,94,127,7864.52,83.67,2,0,23,0,0
37,13,109,9234.68,710.36,3,1,7,3,0
33,1,119,3824.03,3824.03,8,0,0,1,1
8,34,101,5111.89,150.35,6,1,2,2,1
53,62,161,3694.97,59.6,7,0,28,1,1
44,79,6,2645.11,33.48,2,0,21,3,0
44,78,126,7535.23,96.61,2,0,5,3,0
5,93,103,3462.55,37.23,6,1,0,1,1
39,98,37,4338.68,44.27,7,0,17,3,0
4,82,142,4096.37,49.96,4,1,9,2,1
6,71,37,7155.35,100.78,0,1,22,2,0
45,93,8,9186.18,98.78,2,0,16,1,0
32,31,77,6700.89,216.16,4,0,25,0,0
52,64,141,4768.67,74.51,2,1,20,2,0
30,25,40,7814.13,312.57,0,1,0,3,0
47,38,107,6445.62,169.62,6,0,21,0,1
35,14,92,700.04,50.0,0,1,22,2,0
55,8,18,1047.07,130.88,9,0,7,0,1
40,91,57,475.38,5.22,5,0,28,3,0
52,54,83,4622.48,85.6,5,0,11,1,0
16,2,166,8275.95,4137.98,6,1,18,1,1
13,81,32,3199.52,39.5,0,1,13,3,0
50,78,25,3903.19,50.04,2,1,29,1,0
42,89,33,9103.82,102.29,8,1,18,3,0
30,56,88,8385.34,149.74,1,0,26,1,0
19,94,158,6683.98,71.11,4,1,16,2,1
17,93,104,2741.36,29.48,2,0,27,1,0
56,84,34,1258.71,14.98,4,0,15,0,0
19,85,102,258.98,3.05,6,1,18,1,1
28,61,127,1159.41,19.01,0,1,4,1,1
58,22,69,2996.7,136.21,2,1,21,1,0
55,35,176,5562.72,158.93,5,0,18,1,1
26,16,40,733.6,45.85,6,1,3,2,1
37,50,179,1448.66,28.97,9,0,4,3,1
26,43,80,1892.7,44.02,2,0,4,2,0
53,17,141,6356.62,373.92,3,1,24,2,0
23,80,31,6196.32,77.45,5,1,23,0,0
9,58,116,5552.58,95.73,4,1,0,3,1
12,2,167,2579.96,1289.98,8,0,17,3,1
